Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,0,0,0,0
6,-54.6,0,0,0,0
7,-51.8,2,1.41421,0.585786,3.41421
8,-49,2,1.41421,0.585786,3.41421
9,-46.2,1,1,0,2
10,-43.4,1,1,0,2
11,-40.6,0,0,0,0
12,-37.8,1,1,0,2
13,-35,0,0,0,0
14,-32.2,2,1.41421,0.585786,3.41421
15,-29.4,0,0,0,0
16,-26.6,0,0,0,0
17,-23.8,0,0,0,0
18,-21,2,1.41421,0.585786,3.41421
19,-18.2,1,1,0,2
20,-15.4,0,0,0,0
21,-12.6,1,1,0,2
22,-9.8,1,1,0,2
23,-7,1,1,0,2
24,-4.2,0,0,0,0
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,0,0,0,0
28,7,1,1,0,2
29,9.8,1,1,0,2
30,12.6,0,0,0,0
31,15.4,1,1,0,2
32,18.2,0,0,0,0
33,21,1,1,0,2
34,23.8,1,1,0,2
35,26.6,1,1,0,2
36,29.4,1,1,0,2
37,32.2,3,1.73205,1.26795,4.73205
38,35,1,1,0,2
39,37.8,0,0,0,0
40,40.6,2,1.41421,0.585786,3.41421
41,43.4,1,1,0,2
42,46.2,0,0,0,0
43,49,1,1,0,2
44,51.8,0,0,0,0
45,54.6,0,0,0,0
46,57.4,1,1,0,2
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
