Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,2,1.41421,0.585786,3.41421
6,-54.6,0,0,0,0
7,-51.8,0,0,0,0
8,-49,0,0,0,0
9,-46.2,0,0,0,0
10,-43.4,1,1,0,2
11,-40.6,1,1,0,2
12,-37.8,0,0,0,0
13,-35,0,0,0,0
14,-32.2,1,1,0,2
15,-29.4,1,1,0,2
16,-26.6,0,0,0,0
17,-23.8,0,0,0,0
18,-21,5,2.23607,2.76393,7.23607
19,-18.2,1,1,0,2
20,-15.4,0,0,0,0
21,-12.6,0,0,0,0
22,-9.8,0,0,0,0
23,-7,0,0,0,0
24,-4.2,0,0,0,0
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,0,0,0,0
28,7,0,0,0,0
29,9.8,0,0,0,0
30,12.6,1,1,0,2
31,15.4,3,1.73205,1.26795,4.73205
32,18.2,0,0,0,0
33,21,0,0,0,0
34,23.8,1,1,0,2
35,26.6,0,0,0,0
36,29.4,0,0,0,0
37,32.2,1,1,0,2
38,35,0,0,0,0
39,37.8,0,0,0,0
40,40.6,1,1,0,2
41,43.4,2,1.41421,0.585786,3.41421
42,46.2,3,1.73205,1.26795,4.73205
43,49,2,1.41421,0.585786,3.41421
44,51.8,3,1.73205,1.26795,4.73205
45,54.6,0,0,0,0
46,57.4,2,1.41421,0.585786,3.41421
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
