Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,1,1,0,2
5,-57.4,4,2,2,6
6,-54.6,8,2.82843,5.17157,10.8284
7,-51.8,5,2.23607,2.76393,7.23607
8,-49,8,2.82843,5.17157,10.8284
9,-46.2,5,2.23607,2.76393,7.23607
10,-43.4,2,1.41421,0.585786,3.41421
11,-40.6,9,3,6,12
12,-37.8,5,2.23607,2.76393,7.23607
13,-35,8,2.82843,5.17157,10.8284
14,-32.2,3,1.73205,1.26795,4.73205
15,-29.4,2,1.41421,0.585786,3.41421
16,-26.6,4,2,2,6
17,-23.8,4,2,2,6
18,-21,5,2.23607,2.76393,7.23607
19,-18.2,5,2.23607,2.76393,7.23607
20,-15.4,0,0,0,0
21,-12.6,8,2.82843,5.17157,10.8284
22,-9.8,5,2.23607,2.76393,7.23607
23,-7,2,1.41421,0.585786,3.41421
24,-4.2,0,0,0,0
25,-1.4,0,0,0,0
26,1.4,1,1,0,2
27,4.2,5,2.23607,2.76393,7.23607
28,7,4,2,2,6
29,9.8,6,2.44949,3.55051,8.44949
30,12.6,9,3,6,12
31,15.4,1,1,0,2
32,18.2,2,1.41421,0.585786,3.41421
33,21,9,3,6,12
34,23.8,3,1.73205,1.26795,4.73205
35,26.6,5,2.23607,2.76393,7.23607
36,29.4,4,2,2,6
37,32.2,8,2.82843,5.17157,10.8284
38,35,1,1,0,2
39,37.8,2,1.41421,0.585786,3.41421
40,40.6,2,1.41421,0.585786,3.41421
41,43.4,3,1.73205,1.26795,4.73205
42,46.2,1,1,0,2
43,49,3,1.73205,1.26795,4.73205
44,51.8,7,2.64575,4.35425,9.64575
45,54.6,3,1.73205,1.26795,4.73205
46,57.4,4,2,2,6
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
